name,calories,dietary,type,portion,image,prep_time,ingredients,instructions,protein,carbs,fat
Paneer Butter Masala,183,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,21 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",7,31,6
Veg Korma,186,Vegetarian,Dinner,1 serving,/static/images/veg korma.jpg,22 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",8,32,7
Bhindi Masala,189,Vegetarian,Snacks,1 serving,/static/images/bhindi masala.jpeg,23 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",9,33,8
Mix Veg Curry,192,Vegetarian,Lunch,1 serving,/static/images/mix veg curry.jpeg,24 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",10,34,9
Methi Thepla,195,Vegetarian,Breakfast,1 serving,/static/images/methi thepla.jpeg,25 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",11,35,10
Poha,198,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,26 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",12,36,11
Upma,201,Vegetarian,Snacks,1 serving,/static/images/upma.jpeg,27 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",13,37,12
Dhokla,204,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,28 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",14,38,13
Khandvi,207,Vegetarian,Lunch,1 serving,/static/images/khandwi.jpeg,29 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",15,39,14
Aloo Paratha,210,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,30 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",16,40,15
Paneer Butter Masala,213,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,31 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",17,41,16
Veg Korma,216,Vegetarian,Lunch,1 serving,/static/images/veg korma.jpg,32 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",6,42,17
Bhindi Masala,219,Vegetarian,Lunch,1 serving,/static/images/bhindi masala.jpeg,33 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",7,43,18
Mix Veg Curry,222,Vegetarian,Dinner,1 serving,/static/images/mix veg curry.jpeg,34 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",8,44,19
Methi Thepla,225,Vegetarian,Snacks,1 serving,/static/images/methi thepla.jpeg,35 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",9,45,5
Poha,228,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,36 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",10,46,6
Upma,231,Vegetarian,Breakfast,1 serving,/static/images/upma.jpeg,37 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",11,47,7
Dhokla,234,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,38 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",12,48,8
Khandvi,237,Vegetarian,Snacks,1 serving,/static/images/khandwi.jpeg,39 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",13,49,9
Aloo Paratha,240,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,40 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",14,50,10
Paneer Butter Masala,243,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,41 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",15,51,11
Veg Korma,246,Vegetarian,Dinner,1 serving,/static/images/veg korma.jpg,42 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",16,52,12
Bhindi Masala,249,Vegetarian,Snacks,1 serving,/static/images/bhindi masala.jpeg,43 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",17,53,13
Mix Veg Curry,252,Vegetarian,Lunch,1 serving,/static/images/mix veg curry.jpeg,44 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",6,54,14
Methi Thepla,255,Vegetarian,Breakfast,1 serving,/static/images/methi thepla.jpeg,45 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",7,55,15
Poha,258,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,46 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",8,56,16
Upma,261,Vegetarian,Snacks,1 serving,/static/images/upma.jpeg,47 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",9,57,17
Dhokla,264,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,48 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",10,58,18
Khandvi,267,Vegetarian,Lunch,1 serving,/static/images/khandwi.jpeg,49 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",11,59,19
Aloo Paratha,270,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,50 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",12,60,5
Paneer Butter Masala,273,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,51 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",13,61,6
Veg Korma,276,Vegetarian,Lunch,1 serving,/static/images/veg korma.jpg,52 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",14,62,7
Bhindi Masala,279,Vegetarian,Lunch,1 serving,/static/images/bhindi masala.jpeg,53 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",15,63,8
Mix Veg Curry,282,Vegetarian,Dinner,1 serving,/static/images/mix veg curry.jpeg,54 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",16,64,9
Methi Thepla,285,Vegetarian,Snacks,1 serving,/static/images/methi thepla.jpeg,55 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",17,65,10
Poha,288,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,56 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",6,66,11
Upma,291,Vegetarian,Breakfast,1 serving,/static/images/upma.jpeg,57 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",7,67,12
Dhokla,294,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,58 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",8,68,13
Khandvi,297,Vegetarian,Snacks,1 serving,/static/images/khandwi.jpeg,59 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",9,69,14
Aloo Paratha,300,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,20 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",10,30,15
Paneer Butter Masala,303,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,21 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",11,31,16
